image_id,full_image_path,question,answer
81IZqnVjLNL,abo-images-small/images/small/d6/d6a50cdd.jpg,Is the case patterned?,Yes
81IZqnVjLNL,abo-images-small/images/small/d6/d6a50cdd.jpg,Is there a camera?,Yes
81IZqnVjLNL,abo-images-small/images/small/d6/d6a50cdd.jpg,Is it plastic?,Yes
81IZqnVjLNL,abo-images-small/images/small/d6/d6a50cdd.jpg,Are there cutouts?,Yes
81IZqnVjLNL,abo-images-small/images/small/d6/d6a50cdd.jpg,Is the background black?,Yes
81gyvslce+L,abo-images-small/images/small/21/21a9ec2f.jpg,Material?,Plastic
81gyvslce+L,abo-images-small/images/small/21/21a9ec2f.jpg,Are there cameras?,Yes
81gyvslce+L,abo-images-small/images/small/21/21a9ec2f.jpg,Is the case multicolored?,Yes
81gyvslce+L,abo-images-small/images/small/21/21a9ec2f.jpg,Is it a phone case?,Yes
81gyvslce+L,abo-images-small/images/small/21/21a9ec2f.jpg,Are there buttons?,Yes
61Tu+UQqtnL,abo-images-small/images/small/0f/0f1ac76a.jpg,Cartoon?,Yes
61Tu+UQqtnL,abo-images-small/images/small/0f/0f1ac76a.jpg,Pink?,Yes
61Tu+UQqtnL,abo-images-small/images/small/0f/0f1ac76a.jpg,Dual-camera?,Yes
61Tu+UQqtnL,abo-images-small/images/small/0f/0f1ac76a.jpg,Buttons?,Black
61Tu+UQqtnL,abo-images-small/images/small/0f/0f1ac76a.jpg,Logo?,Oppo
71DjJxZOYqL,abo-images-small/images/small/bd/bdc817ea.jpg,Is text present?,Yes
71DjJxZOYqL,abo-images-small/images/small/bd/bdc817ea.jpg,What is the cover's background?,Dark
71DjJxZOYqL,abo-images-small/images/small/bd/bdc817ea.jpg,Is there a camera?,Yes
71DjJxZOYqL,abo-images-small/images/small/bd/bdc817ea.jpg,What shape is it?,Rectangle
71DjJxZOYqL,abo-images-small/images/small/bd/bdc817ea.jpg,Is it for phones?,Yes
71f3Cqvc35L,abo-images-small/images/small/de/de96740c.jpg,Are flowers present?,Yes
71f3Cqvc35L,abo-images-small/images/small/de/de96740c.jpg,Are leaves visible?,Yes
71f3Cqvc35L,abo-images-small/images/small/de/de96740c.jpg,Is it colorful?,Yes
71f3Cqvc35L,abo-images-small/images/small/de/de96740c.jpg,What shape is it?,Rectangular
71f3Cqvc35L,abo-images-small/images/small/de/de96740c.jpg,Is it 3D?,No
719qfkA1HTL,abo-images-small/images/small/6e/6ee45d8a.jpg,Is it yellow?,Yes
719qfkA1HTL,abo-images-small/images/small/6e/6ee45d8a.jpg,Is it wood?,Yes
719qfkA1HTL,abo-images-small/images/small/6e/6ee45d8a.jpg,Is there heart?,Yes
719qfkA1HTL,abo-images-small/images/small/6e/6ee45d8a.jpg,Is it plastic?,Yes
719qfkA1HTL,abo-images-small/images/small/6e/6ee45d8a.jpg,Is it printed?,Yes
71zxF-u464L,abo-images-small/images/small/00/00407700.jpg,Is this rectangular?,Yes
71zxF-u464L,abo-images-small/images/small/00/00407700.jpg,Is there a flower?,Yes
71zxF-u464L,abo-images-small/images/small/00/00407700.jpg,Is it red?,Yes
71zxF-u464L,abo-images-small/images/small/00/00407700.jpg,Is there a heart?,Yes
71zxF-u464L,abo-images-small/images/small/00/00407700.jpg,Is it plastic?,Yes
71oWqT-s-0L,abo-images-small/images/small/3d/3d725e1b.jpg,Is it black?,Yes
71oWqT-s-0L,abo-images-small/images/small/3d/3d725e1b.jpg,Is it floral?,Yes
71oWqT-s-0L,abo-images-small/images/small/3d/3d725e1b.jpg,Is there a skeleton?,Yes
71oWqT-s-0L,abo-images-small/images/small/3d/3d725e1b.jpg,Is it a cover?,Yes
71oWqT-s-0L,abo-images-small/images/small/3d/3d725e1b.jpg,Are there butterflies?,Yes
81R3siOJU-L,abo-images-small/images/small/10/10487fbd.jpg,Is it rectangle?,Yes
81R3siOJU-L,abo-images-small/images/small/10/10487fbd.jpg,Is it brown?,Yes
81R3siOJU-L,abo-images-small/images/small/10/10487fbd.jpg,Is there a camera?,Yes
81R3siOJU-L,abo-images-small/images/small/10/10487fbd.jpg,Is it patterned?,Yes
81R3siOJU-L,abo-images-small/images/small/10/10487fbd.jpg,Is it hard?,Yes
71MZx5EkSBL,abo-images-small/images/small/58/58b9f01f.jpg,Is it pink?,Yes
71MZx5EkSBL,abo-images-small/images/small/58/58b9f01f.jpg,Is there water?,Yes
71MZx5EkSBL,abo-images-small/images/small/58/58b9f01f.jpg,Is it vertical?,Yes
71MZx5EkSBL,abo-images-small/images/small/58/58b9f01f.jpg,Is it floral?,Yes
71MZx5EkSBL,abo-images-small/images/small/58/58b9f01f.jpg,Is it hard?,Yes
71Kq0nbVeYL,abo-images-small/images/small/d8/d8fa814f.jpg,What animal is pictured?,Elephant
71Kq0nbVeYL,abo-images-small/images/small/d8/d8fa814f.jpg,What is the product?,Cover
71Kq0nbVeYL,abo-images-small/images/small/d8/d8fa814f.jpg,Is it colorful?,Yes
71Kq0nbVeYL,abo-images-small/images/small/d8/d8fa814f.jpg,What is the cover for?,Phone
71Kq0nbVeYL,abo-images-small/images/small/d8/d8fa814f.jpg,Is the animal large?,Yes
81ehp1d-wwL,abo-images-small/images/small/0c/0cd6c21a.jpg,Is there a camera?,Yes
81ehp1d-wwL,abo-images-small/images/small/0c/0cd6c21a.jpg,Is it rectangular?,Yes
81ehp1d-wwL,abo-images-small/images/small/0c/0cd6c21a.jpg,Is it colorful?,Yes
81ehp1d-wwL,abo-images-small/images/small/0c/0cd6c21a.jpg,Is it printed?,Yes
81ehp1d-wwL,abo-images-small/images/small/0c/0cd6c21a.jpg,Is it orange?,Yes
71ocfPYGQLL,abo-images-small/images/small/4e/4e2a19ba.jpg,What is the dominant color?,Yellow
71ocfPYGQLL,abo-images-small/images/small/4e/4e2a19ba.jpg,Is there a camera hole?,Yes
71ocfPYGQLL,abo-images-small/images/small/4e/4e2a19ba.jpg,What is the orientation?,Vertical
71ocfPYGQLL,abo-images-small/images/small/4e/4e2a19ba.jpg,Is it patterned?,Yes
71ocfPYGQLL,abo-images-small/images/small/4e/4e2a19ba.jpg,Is it wooden?,No
