image_id,full_image_path,question,answer
71dZhpsferL,abo-images-small/images/small\c2/c20aa6ca.jpg,What color is the case?,Black
71dZhpsferL,abo-images-small/images/small\c2/c20aa6ca.jpg,Are there two figures?,Yes
71dZhpsferL,abo-images-small/images/small\c2/c20aa6ca.jpg,Is there a circle visible?,Yes
71dZhpsferL,abo-images-small/images/small\c2/c20aa6ca.jpg,Is the case rectangular?,Yes
71dZhpsferL,abo-images-small/images/small\c2/c20aa6ca.jpg,Are there any stars?,No
71vX7qIEAIL,abo-images-small/images/small\30/3079540e.jpg,Is there a camera?,Yes
71vX7qIEAIL,abo-images-small/images/small\30/3079540e.jpg,What color is the background?,Brown
71vX7qIEAIL,abo-images-small/images/small\30/3079540e.jpg,Is there a plant?,Yes
71vX7qIEAIL,abo-images-small/images/small\30/3079540e.jpg,What shape is it?,Rectangular
71vX7qIEAIL,abo-images-small/images/small\30/3079540e.jpg,Is the plant green?,Partly
81xaJCVnl3L,abo-images-small/images/small\5d/5d8f395f.jpg,What is written?,"""Take"""
81xaJCVnl3L,abo-images-small/images/small\5d/5d8f395f.jpg,What is the case's shape?,Rectangular
81xaJCVnl3L,abo-images-small/images/small\5d/5d8f395f.jpg,Are there quotation marks?,Yes
81xaJCVnl3L,abo-images-small/images/small\5d/5d8f395f.jpg,Is there a camera hole?,Yes
81xaJCVnl3L,abo-images-small/images/small\5d/5d8f395f.jpg,What color is the inscription?,Black
81AyD23O40L,abo-images-small/images/small\60/606d800c.jpg,Is the design symmetrical?,Yes
81AyD23O40L,abo-images-small/images/small\60/606d800c.jpg,What color is the design?,White
81AyD23O40L,abo-images-small/images/small\60/606d800c.jpg,Is there a camera hole?,Yes
81AyD23O40L,abo-images-small/images/small\60/606d800c.jpg,What shape is it?,Rectangular
81AyD23O40L,abo-images-small/images/small\60/606d800c.jpg,Is design floral?,Yes
813KjyvHJfL,abo-images-small/images/small\e6/e6b749d0.jpg,"Is ""HATE"" visible?",Yes
813KjyvHJfL,abo-images-small/images/small\e6/e6b749d0.jpg,"What word appears above ""HATE""?",NO
813KjyvHJfL,abo-images-small/images/small\e6/e6b749d0.jpg,Is the camera lens visible?,Yes
813KjyvHJfL,abo-images-small/images/small\e6/e6b749d0.jpg,What shape are the blocks?,Square
813KjyvHJfL,abo-images-small/images/small\e6/e6b749d0.jpg,Is there blue?,Yes
711CzX4HZrL,abo-images-small/images/small\df/dfaab955.jpg,Is there a camera?,Yes
711CzX4HZrL,abo-images-small/images/small\df/dfaab955.jpg,What color is on the right?,Red
