image_id,full_image_path,question,answer
61VdqdgNmRL,abo-images-small/images/small\ef/efc41307.jpg,What color is the circle?,Red
61VdqdgNmRL,abo-images-small/images/small\ef/efc41307.jpg,Does the phone have rounded corners?,Yes
61VdqdgNmRL,abo-images-small/images/small\ef/efc41307.jpg,Is the camera lens centered on the top?,No
61VdqdgNmRL,abo-images-small/images/small\ef/efc41307.jpg,Is the red circle positioned above the bottom?,Yes
61VdqdgNmRL,abo-images-small/images/small\ef/efc41307.jpg,What is the dominant color?,Black
61osXbR+kML,abo-images-small/images/small\f8/f8f1de29.jpg,What color is the drink?,Yellow
61osXbR+kML,abo-images-small/images/small\f8/f8f1de29.jpg,How many cutouts visible?,One
61osXbR+kML,abo-images-small/images/small\f8/f8f1de29.jpg,Where is the glass relative to the hand?,Inside
61osXbR+kML,abo-images-small/images/small\f8/f8f1de29.jpg,"Which is larger, straw or pineapple?",Pineapple
61osXbR+kML,abo-images-small/images/small\f8/f8f1de29.jpg,What is the background's subject?,Beach
61wbpLqgn6L,abo-images-small/images/small\32/32f7a5a5.jpg,What color are the shoes?,Red
61wbpLqgn6L,abo-images-small/images/small\32/32f7a5a5.jpg,How many lenses are visible?,Three
61wbpLqgn6L,abo-images-small/images/small\32/32f7a5a5.jpg,Are the shoes touching?,Yes
61wbpLqgn6L,abo-images-small/images/small\32/32f7a5a5.jpg,Are the shoes the same size?,Yes
61wbpLqgn6L,abo-images-small/images/small\32/32f7a5a5.jpg,What item appears central?,Shoes
81XC-W682PL,abo-images-small/images/small\12/121551cc.jpg,What shape covers the case?,Wheel
81XC-W682PL,abo-images-small/images/small\12/121551cc.jpg,Is the wheel centered?,No
81XC-W682PL,abo-images-small/images/small\12/121551cc.jpg,Is a camera lens visible?,Yes
81XC-W682PL,abo-images-small/images/small\12/121551cc.jpg,Is the wheel's edge embellished?,Yes
81XC-W682PL,abo-images-small/images/small\12/121551cc.jpg,What is the wheel's color?,Grey
71jm60E+-sL,abo-images-small/images/small\c1/c1983682.jpg,What color is the dog?,Black
71jm60E+-sL,abo-images-small/images/small\c1/c1983682.jpg,How many eyes are visible?,Two
