image_id,full_image_path,question,answer
61Z0C2j3rhL,abo-images-small/images/small\1c/1cd0fb33.jpg,What color is the unicorn's horn?,Blue
61Z0C2j3rhL,abo-images-small/images/small\1c/1cd0fb33.jpg,How many stars are visible above the unicorn?,Seven
61Z0C2j3rhL,abo-images-small/images/small\1c/1cd0fb33.jpg,Which side of the phone has the unicorn?,Left
61Z0C2j3rhL,abo-images-small/images/small\1c/1cd0fb33.jpg,How many rows of apps are visible on the screen?,Four
61Z0C2j3rhL,abo-images-small/images/small\1c/1cd0fb33.jpg,Is the volume button present on the phone with the unicorn?,No
81XhO6N0btL,abo-images-small/images/small\ab/ab1c2c00.jpg,What color is the case?,Blue
81XhO6N0btL,abo-images-small/images/small\ab/ab1c2c00.jpg,What shape is visible?,Apple
81XhO6N0btL,abo-images-small/images/small\ab/ab1c2c00.jpg,Is the camera lens single or double?,Double
81XhO6N0btL,abo-images-small/images/small\ab/ab1c2c00.jpg,Is the apple above or below the camera?,Below
81XhO6N0btL,abo-images-small/images/small\ab/ab1c2c00.jpg,How many holes are there on top?,Two
816U-cyKXEL,abo-images-small/images/small\03/034d7527.jpg,What color are the stripes?,Red
816U-cyKXEL,abo-images-small/images/small\03/034d7527.jpg,What shape is the logo?,Apple
816U-cyKXEL,abo-images-small/images/small\03/034d7527.jpg,How many stripes are mostly red?,Three
816U-cyKXEL,abo-images-small/images/small\03/034d7527.jpg,Is the camera hole above or below the logo?,Above
816U-cyKXEL,abo-images-small/images/small\03/034d7527.jpg,Are the stripes parallel?,Yes
71Xx4ryBXgL,abo-images-small/images/small\3c/3c7b59dd.jpg,What color is the sunset?,Orange
71Xx4ryBXgL,abo-images-small/images/small\3c/3c7b59dd.jpg,How many giraffes are visible?,Two
71Xx4ryBXgL,abo-images-small/images/small\3c/3c7b59dd.jpg,Is the sun above or below the horizon?,Above
71Xx4ryBXgL,abo-images-small/images/small\3c/3c7b59dd.jpg,What is to the left of the giraffes?,Tree
71Xx4ryBXgL,abo-images-small/images/small\3c/3c7b59dd.jpg,What is the color of the mobile case?,Multicolor
61ij+iwmW0L,abo-images-small/images/small\a2/a25bc483.jpg,What color is the phone case?,Blue
61ij+iwmW0L,abo-images-small/images/small\a2/a25bc483.jpg,How many camera openings are visible?,One
61ij+iwmW0L,abo-images-small/images/small\a2/a25bc483.jpg,What shape is the largest opening?,Circle
61ij+iwmW0L,abo-images-small/images/small\a2/a25bc483.jpg,Is the phone case on the left or right?,Left
61ij+iwmW0L,abo-images-small/images/small\a2/a25bc483.jpg,Is the phone facing forward or sideways?,Sideways
71wLwnsqxvL,abo-images-small/images/small\e8/e8f8427e.jpg,What color is the background?,Pink
71wLwnsqxvL,abo-images-small/images/small\e8/e8f8427e.jpg,How many words are printed?,Two
71wLwnsqxvL,abo-images-small/images/small\e8/e8f8427e.jpg,Where is the crown located?,Center
71wLwnsqxvL,abo-images-small/images/small\e8/e8f8427e.jpg,"Which graphic is larger, ""Daddy's"" or ""Girl""?",Daddy's
71wLwnsqxvL,abo-images-small/images/small\e8/e8f8427e.jpg,What shape is visible where the phone logo would be?,Circle
81sDfJIu6yL,abo-images-small/images/small\b8/b89ae2aa.jpg,What is predominant color?,Blue
81sDfJIu6yL,abo-images-small/images/small\b8/b89ae2aa.jpg,What shape is logo?,Apple
81sDfJIu6yL,abo-images-small/images/small\b8/b89ae2aa.jpg,How many circular cutouts?,Two
81sDfJIu6yL,abo-images-small/images/small\b8/b89ae2aa.jpg,What word appears often?,Mobile
81sDfJIu6yL,abo-images-small/images/small\b8/b89ae2aa.jpg,Which direction is writing oriented?,Vertical
71GV+nZ3c5L,abo-images-small/images/small\9f/9f4de6bb.jpg,What shape is the cover?,Rectangular
71GV+nZ3c5L,abo-images-small/images/small\9f/9f4de6bb.jpg,How many circular shapes exist?,One
71GV+nZ3c5L,abo-images-small/images/small\9f/9f4de6bb.jpg,What color is most prominent?,White
71GV+nZ3c5L,abo-images-small/images/small\9f/9f4de6bb.jpg,Does blue touch yellow?,Yes
71GV+nZ3c5L,abo-images-small/images/small\9f/9f4de6bb.jpg,Is the circle closer to top?,Yes
71S+c4LVugL,abo-images-small/images/small\ad/ad6a0079.jpg,How many cubes are visible?,Four
71S+c4LVugL,abo-images-small/images/small\ad/ad6a0079.jpg,What color is the cube at bottom-right?,Orange
71S+c4LVugL,abo-images-small/images/small\ad/ad6a0079.jpg,Is blue cube above the red cube?,Yes
71S+c4LVugL,abo-images-small/images/small\ad/ad6a0079.jpg,Which cube is closest to the camera?,Green
71S+c4LVugL,abo-images-small/images/small\ad/ad6a0079.jpg,What shape is the central camera?,Rectangle
616Q05QZBxL,abo-images-small/images/small\8d/8d87e90d.jpg,What color is the case?,Black
616Q05QZBxL,abo-images-small/images/small\8d/8d87e90d.jpg,How many lenses are visible?,Two
616Q05QZBxL,abo-images-small/images/small\8d/8d87e90d.jpg,"Where is the ""MEOW"" text relative to the cat's face?",Below
616Q05QZBxL,abo-images-small/images/small\8d/8d87e90d.jpg,What shape is the cat's nose?,Heart
616Q05QZBxL,abo-images-small/images/small\8d/8d87e90d.jpg,What is the primary function?,Protection
71Wbsf3ottL,abo-images-small/images/small\b4/b468bdbb.jpg,What word is visible?,LOVE
71Wbsf3ottL,abo-images-small/images/small\b4/b468bdbb.jpg,What shape is the charm?,Circle
71Wbsf3ottL,abo-images-small/images/small\b4/b468bdbb.jpg,How many lenses are visible?,Two
71Wbsf3ottL,abo-images-small/images/small\b4/b468bdbb.jpg,"Which is higher, charm or text?",Charm
71Wbsf3ottL,abo-images-small/images/small\b4/b468bdbb.jpg,What color is the background?,Black
81cgb3aks6L,abo-images-small/images/small\df/df9ab7c2.jpg,What is the dominant color?,Blue
81cgb3aks6L,abo-images-small/images/small\df/df9ab7c2.jpg,How many circular cutouts visible?,Two
81cgb3aks6L,abo-images-small/images/small\df/df9ab7c2.jpg,Which color appears least?,Orange
81cgb3aks6L,abo-images-small/images/small\df/df9ab7c2.jpg,Is red color visible near bottom?,Yes
81cgb3aks6L,abo-images-small/images/small\df/df9ab7c2.jpg,Does a brushstroke run vertically?,Yes
61FXTuaQRPL,abo-images-small/images/small\8a/8aa85820.jpg,What color is the background?,Black
61FXTuaQRPL,abo-images-small/images/small\8a/8aa85820.jpg,How many roses are visible?,Two
61FXTuaQRPL,abo-images-small/images/small\8a/8aa85820.jpg,Which part is at the bottom?,Buttons
61FXTuaQRPL,abo-images-small/images/small\8a/8aa85820.jpg,Where is the hand located?,Above
61FXTuaQRPL,abo-images-small/images/small\8a/8aa85820.jpg,What does the text say?,Rose
713X03N7seL,abo-images-small/images/small\ec/ec73d7d2.jpg,What color predominates?,Green
713X03N7seL,abo-images-small/images/small\ec/ec73d7d2.jpg,Is the waterfall above bridge?,Above
713X03N7seL,abo-images-small/images/small\ec/ec73d7d2.jpg,How many lenses visible?,Two
713X03N7seL,abo-images-small/images/small\ec/ec73d7d2.jpg,Is waterfall left or right?,Center
713X03N7seL,abo-images-small/images/small\ec/ec73d7d2.jpg,Is bottom darker?,Darker
81JOAuVztRL,abo-images-small/images/small\fd/fd725f82.jpg,What saying appears?,Take
81JOAuVztRL,abo-images-small/images/small\fd/fd725f82.jpg,What is the color?,Gray
81JOAuVztRL,abo-images-small/images/small\fd/fd725f82.jpg,What shape is it?,Rectangle
81JOAuVztRL,abo-images-small/images/small\fd/fd725f82.jpg,Is the camera centered?,Yes
81JOAuVztRL,abo-images-small/images/small\fd/fd725f82.jpg,Is text above halfway?,Below
71w4Jf5cQRL,abo-images-small/images/small\aa/aa4c35fb.jpg,What color are butterflies?,Golden
71w4Jf5cQRL,abo-images-small/images/small\aa/aa4c35fb.jpg,How many large butterflies exist?,Two
71w4Jf5cQRL,abo-images-small/images/small\aa/aa4c35fb.jpg,Are the butterflies aligned vertically?,No
71w4Jf5cQRL,abo-images-small/images/small\aa/aa4c35fb.jpg,What shape is cutout?,Rectangle
71w4Jf5cQRL,abo-images-small/images/small\aa/aa4c35fb.jpg,Which butterfly is largest?,Bottom
71rjIaU8xaL,abo-images-small/images/small\aa/aafc5a44.jpg,What color are the flowers?,Purple
71rjIaU8xaL,abo-images-small/images/small\aa/aafc5a44.jpg,How many camera lenses are visible?,One
71rjIaU8xaL,abo-images-small/images/small\aa/aafc5a44.jpg,What is the background color?,Dark
71rjIaU8xaL,abo-images-small/images/small\aa/aafc5a44.jpg,What is the frame's shape?,Rectangular
71rjIaU8xaL,abo-images-small/images/small\aa/aafc5a44.jpg,Are more flowers lighter or darker?,Darker
61sK6RiUK3L,abo-images-small/images/small\39/39588787.jpg,What letter is visible?,H
