image_id,full_image_path,question,answer
7184jerjTML,abo-images-small/images/small/14/1476abc1.jpg,What is the background color?,Black
7184jerjTML,abo-images-small/images/small/14/1476abc1.jpg,Are there skulls?,Yes
7184jerjTML,abo-images-small/images/small/14/1476abc1.jpg,Is there a hand?,Yes
7184jerjTML,abo-images-small/images/small/14/1476abc1.jpg,Is the drawing colored?,No
7184jerjTML,abo-images-small/images/small/14/1476abc1.jpg,Is it a phone?,Yes
7184jerjTML,abo-images-small/images/small/14/1476abc1.jpg,What color is the background?,Black
7184jerjTML,abo-images-small/images/small/14/1476abc1.jpg,How many skulls are depicted?,Two
7184jerjTML,abo-images-small/images/small/14/1476abc1.jpg,Is the hand above or below the design?,Below
7184jerjTML,abo-images-small/images/small/14/1476abc1.jpg,What shape is the camera cutout?,Circle
7184jerjTML,abo-images-small/images/small/14/1476abc1.jpg,Are the flowers identical?,No
71Q7cO4BbsL,abo-images-small/images/small/24/2435c13d.jpg,What color is the heart?,Pink
71Q7cO4BbsL,abo-images-small/images/small/24/2435c13d.jpg,How many camera lenses are visible?,One
71Q7cO4BbsL,abo-images-small/images/small/24/2435c13d.jpg,Is the top of the phone case rounded or square?,Rounded
71Q7cO4BbsL,abo-images-small/images/small/24/2435c13d.jpg,What is the apparent relationship of the teddy bear to the phone?,Front
71Q7cO4BbsL,abo-images-small/images/small/24/2435c13d.jpg,What word is smallest on the phone case?,You
81rLdCTaGIL,abo-images-small/images/small/d3/d33efcb2.jpg,What color is predominant?,Pink
81rLdCTaGIL,abo-images-small/images/small/d3/d33efcb2.jpg,How many words are visible?,Two
81rLdCTaGIL,abo-images-small/images/small/d3/d33efcb2.jpg,Are the stripes horizontal or chevron?,Chevron
81rLdCTaGIL,abo-images-small/images/small/d3/d33efcb2.jpg,"Is ""Daddy's"" above or below ""Girl""?",Above
81rLdCTaGIL,abo-images-small/images/small/d3/d33efcb2.jpg,Which color has a sparkly texture?,Gold
81K8OFAKlGL,abo-images-small/images/small/2b/2b2e26cd.jpg,What color are the seats?,Black
81K8OFAKlGL,abo-images-small/images/small/2b/2b2e26cd.jpg,How many chairs are shown?,Four
81K8OFAKlGL,abo-images-small/images/small/2b/2b2e26cd.jpg,What shape are the chair backs?,Curved
81K8OFAKlGL,abo-images-small/images/small/2b/2b2e26cd.jpg,Are the legs touching on each chair?,No
81K8OFAKlGL,abo-images-small/images/small/2b/2b2e26cd.jpg,Which leg is closest to the viewer?,Right
71re1jChUDL,abo-images-small/images/small/05/05d106d7.jpg,What color are circles?,Pink
