image_id,full_image_path,question,answer
71riTIQSqJL,abo-images-small/images/small\72/72849d6f.jpg,Is there a camera?,Yes
71riTIQSqJL,abo-images-small/images/small\72/72849d6f.jpg,What is the dominant color?,Red
71riTIQSqJL,abo-images-small/images/small\72/72849d6f.jpg,Is there a speaker?,Yes
71riTIQSqJL,abo-images-small/images/small\72/72849d6f.jpg,Is the design patterned?,Yes
71riTIQSqJL,abo-images-small/images/small\72/72849d6f.jpg,Is it rectangular?,Yes
71jGolkrZeL,abo-images-small/images/small\c5/c5a8b4a2.jpg,What is above the characters?,Sky
71jGolkrZeL,abo-images-small/images/small\c5/c5a8b4a2.jpg,Are the characters kissing?,No
71jGolkrZeL,abo-images-small/images/small\c5/c5a8b4a2.jpg,How many figures are on the bench?,Two
71jGolkrZeL,abo-images-small/images/small\c5/c5a8b4a2.jpg,What is next to the bench?,Dog
71jGolkrZeL,abo-images-small/images/small\c5/c5a8b4a2.jpg,What shape is the camera lens cutout?,Circle
71dSTp3hBDL,abo-images-small/images/small\f1/f1d8fab8.jpg,What shape is the design?,Spherical
71dSTp3hBDL,abo-images-small/images/small\f1/f1d8fab8.jpg,Is the background white?,No
71dSTp3hBDL,abo-images-small/images/small\f1/f1d8fab8.jpg,Is the cover squared?,Rectangular
71dSTp3hBDL,abo-images-small/images/small\f1/f1d8fab8.jpg,What color is dominant?,Pink
71dSTp3hBDL,abo-images-small/images/small\f1/f1d8fab8.jpg,Are there circles?,Yes
81a+tBsr4HL,abo-images-small/images/small\99/995ecd80.jpg,What color is the background?,Orange
81a+tBsr4HL,abo-images-small/images/small\99/995ecd80.jpg,Is there a camera hole?,Yes
81a+tBsr4HL,abo-images-small/images/small\99/995ecd80.jpg,What shape are the large figures?,Oval
81a+tBsr4HL,abo-images-small/images/small\99/995ecd80.jpg,How many green figures are visible?,Two
81a+tBsr4HL,abo-images-small/images/small\99/995ecd80.jpg,Is it rectangular?,Yes
71PYVLxCGyL,abo-images-small/images/small\aa/aa06815a.jpg,What color is the phone cover?,Orange
71PYVLxCGyL,abo-images-small/images/small\aa/aa06815a.jpg,How many circles are there?,Two
71PYVLxCGyL,abo-images-small/images/small\aa/aa06815a.jpg,Is there a camera?,Yes
71PYVLxCGyL,abo-images-small/images/small\aa/aa06815a.jpg,What shape is the cover?,Rectangle
71PYVLxCGyL,abo-images-small/images/small\aa/aa06815a.jpg,Is the pattern symmetrical?,Yes
51WPZwJZf8L,abo-images-small/images/small\af/afe4729e.jpg,What color is the phone?,Blue
51WPZwJZf8L,abo-images-small/images/small\af/afe4729e.jpg,How many cameras are visible?,Two
51WPZwJZf8L,abo-images-small/images/small\af/afe4729e.jpg,What time is displayed?,Sixteen
51WPZwJZf8L,abo-images-small/images/small\af/afe4729e.jpg,Is the screen on?,Yes
51WPZwJZf8L,abo-images-small/images/small\af/afe4729e.jpg,Is there a case?,Yes
71IIZhEsRwL,abo-images-small/images/small\7b/7bc9c6e7.jpg,Are there raindrops?,Yes
71IIZhEsRwL,abo-images-small/images/small\7b/7bc9c6e7.jpg,What's the predominant color?,Green
71IIZhEsRwL,abo-images-small/images/small\7b/7bc9c6e7.jpg,Is there a cutout?,Yes
71IIZhEsRwL,abo-images-small/images/small\7b/7bc9c6e7.jpg,What shape are the leaves?,Pointed
71IIZhEsRwL,abo-images-small/images/small\7b/7bc9c6e7.jpg,Is the case square?,No
61400AjrRkL,abo-images-small/images/small\f6/f6904288.jpg,Is there a case?,Yes
61400AjrRkL,abo-images-small/images/small\f6/f6904288.jpg,How many cameras?,One
61400AjrRkL,abo-images-small/images/small\f6/f6904288.jpg,Are there stripes?,Yes
61400AjrRkL,abo-images-small/images/small\f6/f6904288.jpg,Is the screen on?,Yes
61400AjrRkL,abo-images-small/images/small\f6/f6904288.jpg,What color is the top stripe?,Pink
81MWtGBX4JL,abo-images-small/images/small\45/455f5d21.jpg,Is the cover patterned?,Yes
81MWtGBX4JL,abo-images-small/images/small\45/455f5d21.jpg,Does the cover have a camera hole?,Yes
81MWtGBX4JL,abo-images-small/images/small\45/455f5d21.jpg,What is the cover's primary color?,Black
81MWtGBX4JL,abo-images-small/images/small\45/455f5d21.jpg,Are there side buttons?,Yes
81MWtGBX4JL,abo-images-small/images/small\45/455f5d21.jpg,Is the cover textured?,Seemingly
71nvQh0e5JL,abo-images-small/images/small\13/13f82837.jpg,What color is the case?,Blue
71nvQh0e5JL,abo-images-small/images/small\13/13f82837.jpg,Is there a crown?,Yes
